Year,AL,AK,AZ,AR,CA,CO,CT,DE,FL,GA,HI,ID,IL,IN,IA,KS,KY,LA,ME,MD,MA,MI,MN,MS,MO,MT,NE,NV,NH,NJ,NM,NY,NC,ND,OH,OK,OR,PA,RI,SC,SD,TN,TX,UT,VT,VA,WA,WV,WI,WY
2016,4860545,741522,6941072,2989918,39250017,5540545,3576452,952065,20612439,10310371,1428557,1683140,12801539,6633053,3134693,2907289,4436974,4681666,1331479,6016447,6811779,9928300,5519952,2988726,6093000,1042520,1907116,2940058,1334795,8944469,2081015,19745289,10146788,757952,11614373,3923561,4093465,12784227,1056426,4961119,865454,6651194,27862596,3051217,624594,8411808,7288000,1831102,5778708,585501
2017,4874747,739786,7044008,3001345,39536653,5607154,3573880,961939,20928863,10413055,1427559,1718904,12826895,6665703,3145711,2910689,4454189,4670818,1335907,6035802,6823721,9931715,5566230,2988298,6113532,1050493,1915947,2998039,1342795,9005644,2085432,19795791,10268507,755548,11658609,3931316,4146592,12790505,1055607,5021268,869666,6715984,28304596,3101833,623657,8470020,7423362,1818157,5790186,584910
2018,4887681,735139,7158024,3009733,39776830,5691287,3573297,971180,21244317,10511131,1424393,1751926,12834905,6695497,3156145,2911505,4468402,4663616,1338404,6052177,6830193,9950571,5606249,2989663,6126452,1058287,1925614,3056824,1349767,9053444,2088070,19836286,10381615,752201,11676341,3940235,4181886,12802503,1058287,5084156,878698,6771631,28704330,3153550,624344,8517685,7535591,1804291,5807406,578668
2019,4903185,731158,7278717,3017804,39576757,5758736,3571520,981822,21538187,10617423,1420593,1787065,12820527,6732219,3167974,2913314,4484945,4659690,1344212,6060323,6835307,9973114,5643422,2988471,6137428,1062330,1934408,3117946,1356458,9094091,2092741,19836286,10488084,760077,11689100,3956971,4217737,12823989,1059361,5148714,882235,6829174,29145505,3205958,624358,8565256,7614893,1792147,5822434,577601
2020,4921532,727890,7421401,3029887,39368078,5845526,3565287,990837,21899341,10736059,1412687,1826913,12741080,6768783,3179840,2913805,4509342,4645184,1345790,6065435,6841288,9984072,5679704,2976149,6154913,1068778,1944804,3184160,1361357,9127354,2096829,19849399,10611862,765309,11718568,3977686,4241507,12820878,1056611,5210095,886667,6886834,29618533,3251617,623989,8616207,7693612,1778070,5837466,567025
2021,4932347,724357,7563835,3038999,39296476,5947734,3558172,1001687,22228606,10852064,1407006,1860123,12659682,6805663,3190369,2913805,4524611,4625253,1344212,6065435,6841288,9986857,5717199,2966786,6179543,1077108,1952570,3249879,1361357,9153983,2102895,19836286,10724517,770026,11747694,3990456,4264108,12800922,1056161,5277830,891082,6944265,30138244,3298760,623347,8662583,7773443,1765718,5851754,563767
2022,4945478,721549,7705272,3048999,39283497,6045680,3558172,1010956,22538582,10971128,1407006,1893340,12587684,6849650,3201560,2913805,4533769,4601893,1344212,6065435,6841288,9986857,5758022,2954915,6203007,1084259,1961287,3312166,1361357,9172978,2102895,19836286,10835816,774407,11747694,4006250,4289439,12783254,1056161,5349642,895258,7001099,30665882,3348056,623347,8707735,7859978,1752552,5868249,560235
